Date,HomeTeam,AwayTeam
10/03/2019,Bologna,Cagliari
10/03/2019,Fiorentina,Lazio
10/03/2019,Frosinone,Torino
10/03/2019,Inter,Spal
10/03/2019,Sampdoria,Atalanta
10/03/2019,Sassuolo,Napoli
11/03/2019,Roma,Empoli
15/03/2019,Cagliari,Fiorentina
16/03/2019,Sassuolo,Sampdoria
16/03/2019,Spal,Roma
16/03/2019,Torino,Bologna
17/03/2019,Atalanta,Chievo
17/03/2019,Empoli,Frosinone
17/03/2019,Genoa,Juventus
17/03/2019,Lazio,Parma
17/03/2019,Milan,Inter
17/03/2019,Napoli,Udinese
29/03/2019,Chievo,Cagliari
30/03/2019,Juventus,Empoli
30/03/2019,Sampdoria,Milan
30/03/2019,Udinese,Genoa
31/03/2019,Bologna,Sassuolo
31/03/2019,Fiorentina,Torino
31/03/2019,Frosinone,Spal
31/03/2019,Inter,Lazio
31/03/2019,Parma,Atalanta
31/03/2019,Roma,Napoli
02/04/2019,Cagliari,Juventus
02/04/2019,Milan,Udinese
03/04/2019,Empoli,Napoli
03/04/2019,Frosinone,Parma
03/04/2019,Genoa,Inter
03/04/2019,Roma,Fiorentina
03/04/2019,Spal,Lazio
03/04/2019,Torino,Sampdoria
04/04/2019,Atalanta,Bologna
04/04/2019,Sassuolo,Chievo
06/04/2019,Juventus,Milan
06/04/2019,Parma,Torino
06/04/2019,Sampdoria,Roma
07/04/2019,Cagliari,Spal
07/04/2019,Fiorentina,Frosinone
07/04/2019,Inter,Atalanta
07/04/2019,Lazio,Sassuolo
07/04/2019,Napoli,Genoa
07/04/2019,Udinese,Empoli
08/04/2019,Bologna,Chievo
13/04/2019,Milan,Lazio
13/04/2019,Roma,Udinese
13/04/2019,Spal,Juventus
14/04/2019,Chievo,Napoli
14/04/2019,Fiorentina,Bologna
14/04/2019,Frosinone,Inter
14/04/2019,Sampdoria,Genoa
14/04/2019,Sassuolo,Parma
14/04/2019,Torino,Cagliari
15/04/2019,Atalanta,Empoli
17/04/2019,Lazio,Udinese
20/04/2019,Bologna,Sampdoria
20/04/2019,Cagliari,Frosinone
20/04/2019,Empoli,Spal
20/04/2019,Genoa,Torino
20/04/2019,Inter,Roma
20/04/2019,Juventus,Fiorentina
20/04/2019,Lazio,Chievo
20/04/2019,Parma,Milan
20/04/2019,Udinese,Sassuolo
22/04/2019,Napoli,Atalanta
27/04/2019,Bologna,Empoli
27/04/2019,Inter,Juventus
27/04/2019,Roma,Cagliari
28/04/2019,Chievo,Parma
28/04/2019,Frosinone,Napoli
28/04/2019,Sampdoria,Lazio
28/04/2019,Spal,Genoa
28/04/2019,Torino,Milan
29/04/2019,Atalanta,Udinese
29/04/2019,Fiorentina,Sassuolo
03/05/2019,Juventus,Torino
04/05/2019,Chievo,Spal
04/05/2019,Udinese,Inter
05/05/2019,Empoli,Fiorentina
05/05/2019,Genoa,Roma
05/05/2019,Lazio,Atalanta
05/05/2019,Napoli,Cagliari
05/05/2019,Parma,Sampdoria
05/05/2019,Sassuolo,Frosinone
06/05/2019,Milan,Bologna
11/05/2019,Atalanta,Genoa
11/05/2019,Cagliari,Lazio
11/05/2019,Fiorentina,Milan
12/05/2019,Frosinone,Udinese
12/05/2019,Roma,Juventus
12/05/2019,Sampdoria,Empoli
12/05/2019,Spal,Napoli
12/05/2019,Torino,Sassuolo
13/05/2019,Bologna,Parma
13/05/2019,Inter,Chievo
18/05/2019,Genoa,Cagliari
18/05/2019,Sassuolo,Roma
18/05/2019,Udinese,Spal
19/05/2019,Chievo,Sampdoria
19/05/2019,Empoli,Torino
19/05/2019,Juventus,Atalanta
19/05/2019,Milan,Frosinone
19/05/2019,Napoli,Inter
19/05/2019,Parma,Fiorentina
20/05/2019,Lazio,Bologna
25/05/2019,Bologna,Napoli
25/05/2019,Frosinone,Chievo
26/05/2019,Atalanta,Sassuolo
26/05/2019,Cagliari,Udinese
26/05/2019,Fiorentina,Genoa
26/05/2019,Inter,Empoli
26/05/2019,Roma,Parma
26/05/2019,Sampdoria,Juventus
26/05/2019,Spal,Milan
26/05/2019,Torino,Lazio
